Player,12,11,10,9,8,7,6,5,4,3,2,1,-,2011,2012,2013,2014,2015,2016,2017,2018,2019,2022,2023,2024 DraftKings,New Account Offer,2024 Odds,Bookmaker,New Account Offer
Tom Whitney,61,-,33,MC,75,-,63,MC^^,66,MC,-,MC,-,-,-,-,-,-,-,-,-,-,-,-,5100,Further details,500/1,Bet 365,Further details
David Hearn,-,-,-,-,-,-,-,-,-,-,-,-,-,34,71,44,53,3,MC,MC,61,MC,MC,MC,5100,Further details,4000/1,Bet 365,Further details
Michael Gligic,58,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,MC,-,-,-,MC,MC,-,MC,5100,Further details,1500/1,Bet 365,Further details
Martin Trainer,MC,5^,-,MC,MC^,-,MC,2^^,MC,61,-,MC,-,-,-,-,-,-,-,-,-,MC,MC,72,5100,Further details,500/1,Bet 365,Further details
Ashton McCulloch,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,2000/1,Bet 365,Further details
Cam Kellett,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Justin Matthews,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Kevin Stinson,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MC,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Sam Choi,MC^,-,-,-,-,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,750/1,Bet 365,Further details
Scott Gutschewski,MC,-,MC,69,MC,-,66,MC^^,MC,MC,-,-,-,MC,-,-,-,-,-,-,-,-,MC,-,5000,Further details,1000/1,Bet 365,Further details
Benjamin Taylor,-,MC,MC,MC,MC,-,-,37^^,MC,MC,-,MC,-,-,-,-,-,-,MC,-,-,-,-,-,5000,Further details,2500/1,Bet 365,Further details
Jared Du Toit,8^,MC^,-,-,52^,-,33^,-,-,-,MC^,MC^,-,-,-,-,-,-,-,MC,MC,-,MC,-,5000,Further details,2500/1,Bet 365,Further details
Raul Pereda,42,-,MC,78,MC,-,MC,MC^^,MC,MC,-,MC^,-,-,-,-,-,-,-,-,-,-,-,-,5000,Further details,4000/1,Bet 365,Further details
Mike Weir,27^,-,42^,14^,-,MC,-,-,6^,46^,-,14^,-,WD,MC,49,66,-,MC,MC,MC,MC,MC,52,5000,Further details,2500/1,Bet 365,Further details
Alejandro Tosti,MC,-,75,2,MC,-,33,MC^^,MC,63,73,17,-,-,-,-,-,-,-,-,-,-,-,-,-,Further details,100/1,Bet 365,Further details
James Hahn,MC,-,-,72,-,-,63,-,MC,MC,-,-,-,-,-,40,43,11,-,10,50,-,-,57,-,Further details,TBC,Bet 365,Further details
Sean O'Hair,61,-,-,-,MC^,-,18,37^^,-,61,-,-,-,1,MC,-,62,MC,MC,10,71,-,64,MC,-,Further details,TBC,Bet 365,Further details
Nick Watney,MC,-,-,-,-,-,MC,11^^,MC,MC,-,-,-,-,-,-,12,34,-,27,29,MC,MC,MC,-,Further details,TBC,Bet 365,Further details
Bill Haas,MC,-,-,-,-,-,18,-,MC,MC,-,-,-,-,-,-,-,-,-,-,MC,MC,MC,WD,-,Further details,TBC,Bet 365,Further details
